dialogact.id,dialogact,h.dialogact,an.addressed,an.mutualgaze,an.mouthmovement,an.robotspeaking,an.wrong.person,cl.addressed,cl.mouthmovement,cl.mutualgaze,trial,start_time,filename,date
#<DIALOG-ACT {1010EEF303}>,dataRequest,Data Request,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,47.397s,study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf,2016-02-26T13:11:47Z
#<DIALOG-ACT {1011335353}>,lightOn,Light On,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,56.014s,study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf,2016-02-26T13:11:47Z
#<DIALOG-ACT {1010EFDAA3}>,timeRequest,Time Request,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,57.774s,study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf,2016-02-26T13:11:47Z
#<DIALOG-ACT {1010F02753}>,packetRequest,Parcel Request,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,70.472s (~1.17 minutes),study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf,2016-02-26T13:11:47Z
#<DIALOG-ACT {1011350D93}>,packetRequest,Parcel Request,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,72.696s (~1.21 minutes),study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf,2016-02-26T13:11:47Z
#<DIALOG-ACT {1010F074E3}>,experimentsRequest,Exhibits request,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,88.073s (~1.47 minutes),study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf,2016-02-26T13:11:47Z
#<DIALOG-ACT {101135EF43}>,lightOff,Light Off,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,93.606s (~1.56 minutes),study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf,2016-02-26T13:11:47Z
#<DIALOG-ACT {1010F23CD3}>,timeRequest,Time Request,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,128.573s (~2.14 minutes),study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf,2016-02-26T13:11:47Z
#<DIALOG-ACT {101137DF03}>,dataRequest,Data Request,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,141.063s (~2.35 minutes),study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf,2016-02-26T13:11:47Z
#<DIALOG-ACT {10113831A3}>,lightOn,Light On,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,147.241s (~2.45 minutes),study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf,2016-02-26T13:11:47Z
