/meka/addressee-meka/scatter/Viewing_Person0_Meka/	gaze/addressee	/meka/dialogact/dialogActInformer/	/meka/eval/mouth/dialogact/	meka-addressee	/videorecorder/open/	mouth/addressee	start_time	/videorecorder/start/	/videorecorder/stop/	robot-speaking	/meka/addressee-meka/scatter/Person0_Mouth/	filename	/meka/eval/gaze/dialogact/	trial	annotation_modifier	/meka/eval/all/dialogact/	/meka/addressee-meka/scatter/Addressee/	date	/videorecorder/close/	/meka/rejected/dialogact/dialogActInformer/
Yes		#<DIALOG-ACT {1010EE17B3}>	negation				7358				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	negation	1	shiftedAnnotationsExplicit	negation	Meka	2016-02-26_13-11-47		
Yes					ok		9238				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101130C2A3}>
No			confirmation				15963				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10113108B3}>
No							21685				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10113153F3}>
No			ok				23586				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf		1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011319C93}>
Yes							29409				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {101131E9C3}>
Yes		#<DIALOG-ACT {1010EE61D3}>	confirmation				29955				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Meka	2016-02-26_13-11-47		
Yes							35425				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Other	2016-02-26_13-11-47		#<DIALOG-ACT {10113233B3}>
Yes							35958				Stable	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	ok	1	shiftedAnnotationsExplicit	ok	Other	2016-02-26_13-11-47		#<DIALOG-ACT {1011327C03}>
Yes		#<DIALOG-ACT {1010EEAAC3}>	confirmation				41335				Moving	study1_11_2016-02-26_13-11-47-shiftedAnnotationsExplicit.eaf	confirmation	1	shiftedAnnotationsExplicit	confirmation	Meka	2016-02-26_13-11-47		
